address,name,rubrics,attributes,address.postcode,lat,lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address_comment,city,rubrics_new,district,postcode_3
Крымская улица,СкорпиоБар,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,142720.0,55.53796,37.613887,5.0,1.0,3.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,3.0,,Москва,Бары,,142
Лесная улица,Культура вкуса,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,142720.0,55.535902,37.621322,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,,Москва,Бары,,142
деревня Тарычево,"Мята Lounge Видное, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",,142703.0,55.555926,37.690843,4.7,50.0,59.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,17391.0,22161.0,2 этаж,Москва,"Бары, Центры паровых коктейлей",,142
Радужная улица,"Видное, кафе","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",1000.0,142701.0,55.542377,37.709523,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,1 этаж,Москва,"Бары, Кафе",,142
ЖК Усадьба Суханово,Империя пива,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'ryba_i_moreprodukty', 'id': '366', 'kind': 'additional', 'name': 'Рыба и морепродукты', 'parent_id': '14', 'short_id': 366}]",,142702.0,55.533569,37.667546,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,,Москва,"Бары, Рыба и морепродукты",,142
проспект Ленинского Комсомола,БитОк Крафт&Еда,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'arenda_koncertnykh_ploshhadok', 'id': '111506', 'kind': 'additional', 'name': 'Аренда концертных площадок', 'parent_id': '9', 'short_id': 111506}, {'alias': 'ryumochnye', 'id': '52248', 'kind': 'additional', 'name': 'Рюмочные', 'parent_id': '2', 'short_id': 52248}]",,142701.0,55.547657,37.713388,4.8,27.0,35.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 1, 'review_count': 1, 'tag': 'flamp'}]",4.8,27.0,35.0,цокольный этаж,Москва,"Бары, Аренда концертных площадок, Рюмочные",,142
Завидная улица,"БарДак, бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,142701.0,55.540034,37.724919,,,3.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,3.0,цокольный этаж,Москва,Бары,,142
Ольховая улица,"Алиби, бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'bilyardnye_zaly', 'id': '169', 'kind': 'primary', 'name': 'Бильярдные залы', 'parent_id': '2', 'short_id': 169}]",,142701.0,55.546513,37.722043,5.0,1.0,1.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,1.0,1 этаж; 3-4 подъезд,Москва,"Бары, Бильярдные залы",,142
Берёзовая улица,"Бирстория, паб","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,142701.0,55.543606,37.720734,4.4,12.0,18.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.4,12.0,18.0,1 этаж,Москва,Бары,,142
улица Липовый парк,"Липа Бар, гастробар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",2000.0,108801.0,55.570096,37.488297,4.7,23.0,40.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,23.0,40.0,1 этаж; около отделения Почта России,Москва,"Бары, Кафе, Доставка еды",,108
