"rent, rub/month",address,city,"price_per_sqm, rub/month","square, m^2",type,url,OSM_address,address_info,district,lat,lon,nearest_metro,distance_km,distance_center_km,distance_center_m,square_category,square_category_encoding
550000,Звенигородское шоссе,Москва,7554,72,Торговая площадь,https://msk.n1.ru/view/114737493/?open_card_kn,"Звенигородское шоссе, 3а ст1, Москва, Россия","{'district': 'район Хорошёво-Мнёвники', 'lat': 55.7717237, 'lon': 37.4970071}",район Хорошёво-Мнёвники,55.7717237,37.4970071,"Москва, Народное Ополчение",0.843752910050196,7.96,7960,Средняя,2
320000,Судостроительная,Москва,4494,71,Торговая площадь,https://msk.n1.ru/view/114737492/?open_card_kn,"Судостроительная, 3, Москва, Россия","{'district': 'район Нагатинский Затон', 'lat': 55.6879099, 'lon': 37.6902572}",район Нагатинский Затон,55.6879099,37.6902572,"Москва, Нагатинский Затон",0.9663473668228968,8.37,8370,Средняя,2
550000,Земляной Вал,Москва,3971,138,Торговая площадь,https://msk.n1.ru/view/114737359/?open_card_kn,"Земляной Вал, 25, Москва, Россия","{'district': 'Бауманка', 'lat': 55.7598197, 'lon': 37.6582178}",Бауманка,55.7598197,37.6582178,"Москва, Курская",0.19521404466622605,2.67,2670,Большая,3
850000,Ленинградский проспект,Москва,8188,103,Торговая площадь,https://msk.n1.ru/view/114737357/?open_card_kn,"Ленинградский проспект, 4/2, Москва, Россия","{'district': 'район Беговой', 'lat': 55.7787862, 'lon': 37.5820408}",район Беговой,55.7787862,37.5820408,"Москва, Белорусская",0.21297583134152626,3.82,3820,Средняя,2
195000,Земляной Вал,Москва,16250,12,Торговая площадь,https://msk.n1.ru/view/115771609/?open_card_kn,"Земляной Вал, 24/30 ст1, Москва, Россия","{'district': 'Бауманка', 'lat': 55.7602395, 'lon': 37.6574925}",Бауманка,55.7602395,37.6574925,"Москва, Курская",0.24774301751543237,2.65,2650,Маленькая,1
250000,Волгоградский проспект,Москва,2906,86,Торговая площадь,https://msk.n1.ru/view/111439189/?open_card_kn,"Волгоградский проспект, 138 корп. 4, Москва, Россия","{'district': 'район Кузьминки', 'lat': 55.7041824, 'lon': 37.7724622}",район Кузьминки,55.7041824,37.7724622,"Москва, Кузьминки",0.4463072004325429,11.01,11010,Средняя,2
2159990,Павелецкая площадь,Москва,12559,172,Торговая площадь,https://msk.n1.ru/view/112895925/?open_card_kn,"Павелецкая площадь, 2 ст2, Москва, Россия","{'district': 'район Замоскворечье', 'lat': 55.7309635, 'lon': 37.6368091}",район Замоскворечье,55.7309635,37.6368091,"Москва, Павелецкая",0.08370848679887283,2.54,2540,Большая,3
680000,Планерная,Москва,10658,63,Торговая площадь,https://msk.n1.ru/view/112443941/?open_card_kn,"Планерная, 12 корп. 1, Москва, Россия","{'district': 'район Северное Тушино', 'lat': 55.870149, 'lon': 37.4401768}",район Северное Тушино,55.870149,37.4401768,"Москва, Планерная",1.0784954256729387,17.33,17330,Средняя,2
199000,проспект Прокшинский,Москва,2313,86,Торговая площадь,https://msk.n1.ru/view/113674766/?open_card_kn,"проспект Прокшинский, 5, Москва, Россия","{'district': 'Жилой комплекс «Прокшино»', 'lat': 55.5925829, 'lon': 37.4297098}",Жилой комплекс «Прокшино»,55.5925829,37.4297098,"Москва, Прокшино",0.7142774474972668,21.28,21280,Средняя,2
915810,Сокольническая площадь,Москва,7350,124,Торговая площадь,https://msk.n1.ru/view/109260283/?open_card_kn,"Сокольническая площадь, 4а, Москва, Россия","{'district': 'район Сокольники', 'lat': 55.7899664, 'lon': 37.6785325}",район Сокольники,55.7899664,37.6785325,"Москва, Сокольники",0.0627988664806612,5.73,5730,Большая,3
650000,Преображенская площадь,Москва,3385,192,Торговая площадь,https://msk.n1.ru/view/113673759/?open_card_kn,"Преображенская площадь, 2, Москва, Россия","{'district': 'Черкизово', 'lat': 55.7948993, 'lon': 37.7091521}",Черкизово,55.7948993,37.7091521,"Москва, Преображенская площадь",0.43327741234858985,7.49,7490,Большая,3
1215000,Выборгская,Москва,2500,486,Торговая площадь,https://msk.n1.ru/view/115429952/?open_card_kn,"Выборгская, 18, Москва, Россия","{'district': 'Войковский район', 'lat': 55.8359015, 'lon': 37.5007141}",Войковский район,55.8359015,37.5007141,"Москва, Водный стадион",0.9675238699140766,11.97,11970,Крупная,4
225000,Бумажный проезд,Москва,3571,63,Торговая площадь,https://msk.n1.ru/view/115769165/?open_card_kn,"Бумажный проезд, 19 ст2, Москва, Россия","{'district': 'район Беговой', 'lat': 55.7885923, 'lon': 37.5861058}",район Беговой,55.7885923,37.5861058,"Москва, Савёловская",0.41233394669708423,4.63,4630,Средняя,2
1200000,Таганская,Москва,6000,200,Торговая площадь,https://msk.n1.ru/view/110113382/?open_card_kn,"Таганская, 3, Москва, Россия","{'district': 'Таганский район', 'lat': 55.7377547, 'lon': 37.6709121}",Таганский район,55.7377547,37.6709121,"Москва, Крестьянская Застава",0.5848858436157021,3.62,3620,Большая,3
329000,Ленинградский проспект,Москва,4272,77,Торговая площадь,https://msk.n1.ru/view/115078452/?open_card_kn,"Ленинградский проспект, 24, Москва, Россия","{'district': 'район Беговой', 'lat': 55.7825745, 'lon': 37.5736606}",район Беговой,55.7825745,37.5736606,"Москва, Белорусская",0.7502979641295253,4.48,4480,Средняя,2
475000,Архитектора Власова,Москва,4896,97,Торговая площадь,https://msk.n1.ru/view/114005685/?open_card_kn,"Архитектора Власова, 71 корп. 2, Москва, Россия","{'district': 'Обручевский район', 'lat': 55.6608565, 'lon': 37.5352006}",Обручевский район,55.6608565,37.5352006,"Москва, Воронцовская",0.3373963516240697,11.34,11340,Средняя,2
800004,Новокузнецкая,Москва,4673,171,Торговая площадь,https://msk.n1.ru/view/115428059/?open_card_kn,"Новокузнецкая, 6, Москва, Россия","{'district': 'район Замоскворечье', 'lat': 55.7355388, 'lon': 37.6332094}",район Замоскворечье,55.7355388,37.6332094,"Москва, Павелецкая",0.4732031880432798,1.98,1980,Большая,3
1250000,Тульская Б.,Москва,4636,269,Торговая площадь,https://msk.n1.ru/view/111431454/?open_card_kn,"Тульская Б., 2, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.7065802, 'lon': 37.6213902}",Даниловский район,55.7065802,37.6213902,"Москва, Тульская",0.25234326092076015,4.98,4980,Большая,3
800000,Калужская площадь,Москва,11594,69,Торговая площадь,https://msk.n1.ru/view/114727844/?open_card_kn,"Калужская площадь, 1 корп. 1, Москва, Россия","{'district': 'район Якиманка', 'lat': 55.730383, 'lon': 37.6122855}",район Якиманка,55.730383,37.6122855,"Москва, Октябрьская",0.06877331094292405,2.35,2350,Средняя,2
310000,Планерная,Москва,17613,17,Торговая площадь,https://msk.n1.ru/view/114727788/?open_card_kn,"Планерная, 12 корп. 1, Москва, Россия","{'district': 'район Северное Тушино', 'lat': 55.870149, 'lon': 37.4401768}",район Северное Тушино,55.870149,37.4401768,"Москва, Планерная",1.0784954256729387,17.33,17330,Маленькая,1
1449988,Солянка,Москва,6935,209,Торговая площадь,https://msk.n1.ru/view/110113316/?open_card_kn,"Солянка, 2/6, Москва, Россия","{'district': 'Таганский район', 'lat': 55.7540713, 'lon': 37.6368607}",Таганский район,55.7540713,37.6368607,"Москва, Китай-город",0.2715332592566164,1.2,1200,Большая,3
750000,Калужская площадь,Москва,9842,76,Торговая площадь,https://msk.n1.ru/view/114727757/?open_card_kn,"Калужская площадь, 1 корп. 1, Москва, Россия","{'district': 'район Якиманка', 'lat': 55.730383, 'lon': 37.6122855}",район Якиманка,55.730383,37.6122855,"Москва, Октябрьская",0.06877331094292405,2.35,2350,Средняя,2
680000,Планерная,Москва,10658,63,Торговая площадь,https://msk.n1.ru/view/114727784/?open_card_kn,"Планерная, 12 корп. 1, Москва, Россия","{'district': 'район Северное Тушино', 'lat': 55.870149, 'lon': 37.4401768}",район Северное Тушино,55.870149,37.4401768,"Москва, Планерная",1.0784954256729387,17.33,17330,Средняя,2
900000,Планерная,Москва,9081,99,Торговая площадь,https://msk.n1.ru/view/114727756/?open_card_kn,"Планерная, 12 корп. 1, Москва, Россия","{'district': 'район Северное Тушино', 'lat': 55.870149, 'lon': 37.4401768}",район Северное Тушино,55.870149,37.4401768,"Москва, Планерная",1.0784954256729387,17.33,17330,Средняя,2
